CUSEC,vivienda turistica,plazas,plazas por vivienda turistica,Porcentaje vivienda turistica,PERIODO,PROV,MUN_LITERAL
0801908048,0,0,0.0,0.0,2025M11,8,Barcelona
0801908085,1,2,2.0,0.15576324,2025M11,8,Barcelona
0801908047,0,0,0.0,0.0,2025M11,8,Barcelona
0801908045,0,0,0.0,0.0,2025M11,8,Barcelona
0801908093,0,0,0.0,0.0,2025M11,8,Barcelona
0801908092,0,0,0.0,0.0,2025M11,8,Barcelona
0801908037,0,0,0.0,0.0,2025M11,8,Barcelona
0801908076,0,0,0.0,0.0,2025M11,8,Barcelona
0801908041,0,0,0.0,0.0,2025M11,8,Barcelona
0801908039,0,0,0.0,0.0,2025M11,8,Barcelona
0801908102,1,4,4.0,0.15015015,2025M11,8,Barcelona
0801908036,0,0,0.0,0.0,2025M11,8,Barcelona
0801908033,1,4,4.0,0.15243903,2025M11,8,Barcelona
0801908078,0,0,0.0,0.0,2025M11,8,Barcelona
